date,SPY,IWM,TLT,LQD,SHV
2011-08-01,98.9092,64.428,64.5656,65.654,87.2754
2011-08-02,96.3823,62.4192,66.5042,66.2036,87.3229
2011-08-03,96.9046,62.834,66.6352,66.1802,87.3309
2011-08-04,92.3654,59.0441,69.0062,66.6597,87.3309
2011-08-05,92.2272,58.0112,67.0152,65.8352,87.3309
2011-08-08,86.2211,52.9608,69.1307,65.2096,87.315
2011-08-09,90.2303,56.4904,69.3402,65.7943,87.3467
2011-08-10,86.2441,53.7252,71.4034,66.3849,87.3229
2011-08-11,90.1151,56.4091,67.8011,65.0224,87.3309
2011-08-12,90.7218,56.7588,69.1438,65.7651,87.3229
2011-08-15,92.6419,58.361,68.443,65.8878,87.3229
2011-08-16,91.8508,57.2874,69.576,66.1275,87.3309
2011-08-17,91.9123,57.3037,70.7942,66.3089,87.3309
2011-08-18,87.9492,54.0424,72.2482,66.3965,87.3309
2011-08-19,86.5129,53.0909,72.8312,66.3147,87.3467
2011-08-22,86.582,52.9038,72.6478,66.0691,87.3467
2011-08-23,89.4315,55.4575,71.6457,65.3148,87.3467
2011-08-24,90.6911,56.2789,69.6088,64.5429,87.3467
2011-08-25,89.3086,54.8964,70.362,64.8996,87.3309
2011-08-26,90.6066,56.2058,71.0562,64.9289,87.3309
2011-08-29,93.2103,58.8652,70.0738,65.1394,87.3546
2011-08-30,93.4561,59.2068,71.2003,65.4844,87.3309
2011-08-31,93.8708,59.0848,70.1,65.6832,87.3229
2011-09-01,92.8877,57.8161,71.586,65.7319,87.3269
2011-09-02,90.5145,55.6771,73.9115,66.1369,87.319
2011-09-06,89.8539,55.5226,74.6801,66.5242,87.3427
2011-09-07,92.3885,57.6209,73.2546,66.6533,87.319
2011-09-08,91.4284,56.5636,73.9115,66.5946,87.319
2011-09-09,89.0321,54.8964,74.6999,66.6651,87.319
2011-09-12,89.6081,55.3681,74.7787,66.2601,87.319
2011-09-13,90.4299,56.2627,73.7144,66.2484,87.3348
2011-09-14,91.6819,57.2712,74.3386,66.219,87.319
2011-09-15,93.2641,58.0763,73.2021,65.9901,87.3427
2011-09-16,93.816,58.1658,73.7342,65.9901,87.3269
2011-09-19,92.8819,57.1247,75.14,66.354,87.3269
2011-09-20,92.7738,56.2383,75.4553,66.3833,87.3269
2011-09-21,90.0409,54.1563,77.9517,66.536,87.319
2011-09-22,87.1303,52.6436,80.8816,66.6651,87.3348
2011-09-23,87.6553,53.1824,79.3773,66.2542,87.3269
2011-09-26,89.7398,54.1867,78.1028,66.131,87.3427
2011-09-27,90.7434,55.3542,76.9072,65.9197,87.3269
2011-09-28,88.8905,53.2314,76.8809,65.6556,87.3269
2011-09-29,89.5931,54.154,77.413,65.5852,87.319
2011-09-30,87.3542,52.4966,79.3575,65.9138,87.3348
2011-10-03,84.8683,49.7942,81.5414,66.0364,87.3158
